Work Order Number,Customer Number,Memo (Main),Name,Address,City,State,Zip,FixedTime,Weight,Total Weight NH,OrderDate,Quantity,Total Quantity,EqCode,Open1,Close1,Pattern1,Longitude,Latitude,OrderType,Filler,Shipment Date,Standing Appointment,Seq,County,Rt,Food Pallets, Pet Food Pallets,Chemical Pallets,Delivery Instructions,Total Case Cube,Static Appointment
977894,84221,- None -,Christian Cultural Center,120-20 Flatlands Avenue,Brooklyn,NY,11207,30,2281,2281,1/28/2026,,81, ,0830,1230,W,-73.889936,40.651172,Cold,Yes,1/28/2026,Yes,2,Brooklyn,16,1.65,0,0,use gate located on Louisiana Ave across from Food Bazaar supermarket,105.75,Yes
977895,83921,- None -,St. Margaret's Episcopal Church,940 East 156th Street,Bronx,NY,10455,30,80,80,1/28/2026,,5, ,1230,1630,W,-73.90032,40.816517,Cold,Yes,1/28/2026,Yes,1,Bronx,72,0.06,0,0,8/30/23 - SR Day changed to Wednesday.  Come through the gray doors at 940 E. 156th Street and ring the bell.,3.68,Yes
977919,82315,- None -,Spanish Soundview SDA,1822 Lacombe Avenue,Bronx,NY,10473,30,3373,3373,1/28/2026,,161, ,0830,1230,W,-73.861258,40.815052,Dry,Yes,1/28/2026,Yes,3,Bronx,20,1.45,0,0,Deliver ONLY 8:30 - 1:30.  Volunteers leave at 2pmWednesday. Please call Josefina Enrique - 646-256-5284  to confirm delivery,93.39,Yes
977923,82315,- None -,Spanish Soundview SDA,1822 Lacombe Avenue,Bronx,NY,10473,30,3704,3704,1/28/2026,,154, ,0830,1230,W,-73.861258,40.815052,Cold,Yes,1/28/2026,Yes,3,Bronx,20,3.09,0,0,Deliver ONLY 8:30 - 1:30.  Volunteers leave at 2pmWednesday. Please call Josefina Enrique - 646-256-5284  to confirm delivery,196.62,Yes
977937,81451,- None -,Grand Central Food Program,210 East 124th Street,New York,NY,10029,30,965,965,1/28/2026,,75, ,0830,1230,W,-73.935822,40.802813,Dry,No,1/28/2026,No,3,Manhattan,21,0.32,0,0,Deliveries should only be made to this program using a straight truck. NO DELIVERIES AFTER 3:30PM,20.75,No
977939,81451,- None -,Grand Central Food Program,210 East 124th Street,New York,NY,10029,30,570,570,1/28/2026,,45, ,0830,1230,W,-73.935822,40.802813,Cold,No,1/28/2026,No,3,Manhattan,21,0.56,0,0,Deliveries should only be made to this program using a straight truck. NO DELIVERIES AFTER 3:30PM,35.55,No
977951,85255,- None -,Project Hope Charities,170-20 140th Avenue,Jamaica,NY,11434,30,1642,1642,1/28/2026,,61, ,0830,1230,W,-73.769835,40.670977,Dry,No,1/28/2026,No,3,Queens,4,0.64,0,0,- None -,40.57,No
977953,85255,- None -,Project Hope Charities,170-20 140th Avenue,Jamaica,NY,11434,30,2642,2642,1/28/2026,,84, ,0830,1230,W,-73.769835,40.670977,Cold,No,1/28/2026,No,3,Queens,4,1.94,0,0,- None -,123.74,No
977966,85162,- None -,Every Day is a Miracle co The Almond Tree Church,2424 Jerome Ave,Bronx,NY,10468,30,2336,2336,1/28/2026,,88, ,0830,1230,W,-73.90176,40.86185,Dry,Yes,1/28/2026,Yes,1,Bronx,20,0.87,0,0,ONLY 830am-1:00pm,55.62,Yes
977967,85162,- None -,Every Day is a Miracle co The Almond Tree Church,2424 Jerome Ave,Bronx,NY,10468,30,1850,1850,1/28/2026,,50, ,0830,1230,W,-73.90176,40.86185,Cold,Yes,1/28/2026,Yes,1,Bronx,20,1.4,0,0,ONLY 830am-1:00pm,89.4,Yes
977971,84157,- None -,Harlem Dowling West Side Center,2139 Adam Clayton Powell Jr Boulevard,New York,NY,10027,30,582,582,1/28/2026,,25, ,0830,1230,W,-73.947461,40.81014,Cold,No,1/28/2026,No,2,Manhattan,10,0.42,0,0,"Please, Pallet Breakdown and bring inside.  Go to the front desk to inform us of delivery arrival.  Driver will be directed to the side door for entry and delivery completion.",26.46,No
977975,84157,- None -,Harlem Dowling West Side Center,2139 Adam Clayton Powell Jr Boulevard,New York,NY,10027,30,435,435,1/28/2026,,26, ,0830,1230,W,-73.947461,40.81014,Dry,No,1/28/2026,No,2,Manhattan,10,0.17,0,0,"Please, Pallet Breakdown and bring inside.  Go to the front desk to inform us of delivery arrival.  Driver will be directed to the side door for entry and delivery completion.",10.32,No
978007,85552,- None -,Olivet Gospel Church Community Food Distribution Program,3900 Dyre Ave,Bronx,NY,10466,30,2370,2370,1/28/2026,,85, ,0830,1230,W,-73.831265,40.889389,Cold,No,1/28/2026,No,2,Bronx,12,1.67,0,0,Wednesday morning window.  Agency also receives approx. 3-9 pallets of Produce in the morning..,106.56,No
978010,85552,- None -,Olivet Gospel Church Community Food Distribution Program,3900 Dyre Ave,Bronx,NY,10466,30,2510,2510,1/28/2026,,113, ,0830,1230,W,-73.831265,40.889389,Dry,No,1/28/2026,No,2,Bronx,12,1.08,0,0,Wednesday morning window.  Agency also receives approx. 3-9 pallets of Produce in the morning..,69.28,No
978021,84331,- None -,"SCAN-Harbor, Inc.",40 E 164th St,Bronx,NY,10452,30,3050,3050,1/28/2026,,138, ,1230,1630,W,-73.925337,40.831059,Dry,Yes,1/28/2026,Yes,2,Bronx,72,1.28,0,0,"WEDNESDAY 12:30pm-5pm, unless the Sales Order/s indicate 8:30-12:30pm.   Delivery MUST GO to Jerome btw 164th & 165th",82.25,Yes
978022,84331,- None -,"SCAN-Harbor, Inc.",40 E 164th St,Bronx,NY,10452,30,1756,1756,1/28/2026,,63, ,1230,1630,W,-73.925337,40.831059,Cold,Yes,1/28/2026,Yes,2,Bronx,72,1.26,0,0,"WEDNESDAY 12:30pm-5pm, unless the Sales Order/s indicate 8:30-12:30pm.   Delivery MUST GO to Jerome btw 164th & 165th",80.89,Yes
978023,80336,- None -,Calvary Pentecostal Church,151 Woodruff Avenue,Brooklyn,NY,11226,30,2878,2878,1/28/2026,,110, ,0830,1230,W,-73.961095,40.654342,Dry,No,1/28/2026,No,2,Brooklyn,7,1.13,0,0,NO deliveries on MONDAYS or THURSDAYS.,72.56,No
978024,85579,- None -,"MUNA Social Service, Inc.",80-50 Pitkin Ave,Ozone Park,NY,11417,30,5014,5014,1/28/2026,,218, ,0830,1230,W,-73.855033,40.675864,Dry,No,1/28/2026,No,1,Brooklyn,13,2.05,0,0,Fridays 8:30am- 12:30pm,130.43,No
978025,85579,- None -,"MUNA Social Service, Inc.",80-50 Pitkin Ave,Ozone Park,NY,11417,30,6650,6650,1/28/2026,,216, ,0830,1230,W,-73.855033,40.675864,Cold,No,1/28/2026,No,1,Brooklyn,13,4.15,0,0,Fridays 8:30am- 12:30pm,265.02,No
978031,82976,- None -,Queensboro SDA Church,96-50 222nd Street,Queens Village,NY,11429,30,4450,4450,1/28/2026,,161, ,0830,1230,W,-73.731704,40.718217,Dry,Yes,1/28/2026,Yes,2,Queens,15,1.69,0,0.06,No deliveries on Friday. Delivery: Wed 9:00am-1:00 pm,109.88,Yes
978032,82976,- None -,Queensboro SDA Church,96-50 222nd Street,Queens Village,NY,11429,30,2969,2969,1/28/2026,,111, ,0830,1230,W,-73.731704,40.718217,Cold,Yes,1/28/2026,Yes,2,Queens,15,2.11,0,0,No deliveries on Friday. Delivery: Wed 9:00am-1:00 pm,134.93,Yes
978033,81685,- None -,Father's Heart Ministries,543-545 East 11th Street,New York,NY,10009,30,624,624,1/28/2026,,28, ,0830,1230,W,-73.980741,40.728014,Dry,Yes,1/28/2026,Yes,3,Manhattan,22,0.27,0,0,Del only Wed 8AM-12Noon. Confirm with Ms. Hutchins 718-740-1033.,17.56,Yes
978035,81685,- None -,Father's Heart Ministries,543-545 East 11th Street,New York,NY,10009,30,1061,1061,1/28/2026,,27, ,0830,1230,W,-73.980741,40.728014,Cold,Yes,1/28/2026,Yes,3,Manhattan,22,0.72,0,0,Del only Wed 8AM-12Noon. Confirm with Ms. Hutchins 718-740-1033.,46.2,Yes
978036,83557,- None -,Father's Heart Ministries,543-545 East 11th Street,New York,NY,10009,30,664,664,1/28/2026,,18, ,0830,1230,W,-73.980741,40.728014,Cold,Yes,1/28/2026,Yes,3,Manhattan,22,0.46,0,0,Please ring the doorbell at the front door upon delivery.,29.38,Yes
978038,83557,- None -,Father's Heart Ministries,543-545 East 11th Street,New York,NY,10009,30,776,776,1/28/2026,,28, ,0830,1230,W,-73.980741,40.728014,Dry,Yes,1/28/2026,Yes,3,Manhattan,22,0.27,0,0,Please ring the doorbell at the front door upon delivery.,17.16,Yes
978048,87369,- None -,Project Renewal Holland House,351 West 42nd Street,New York,NY,10036,30,728,728,1/28/2026,,28, ,0830,1230,W,-73.991229,40.757848,Dry,No,1/28/2026,No,4,Manhattan,22,0.26,0,0,Inform front desk person upon arrival. Please deliver to the building between Subway Restaurant and the Walk in Medical Center. This is not the church,16.59,No
978050,80476,- None -,Unitarian Church of All Souls,1157 Lexington Avenue,New York,NY,10021,30,7046,7046,1/28/2026,,233, ,1230,1630,W,-73.95858,40.775377,Cold,Yes,1/28/2026,Yes,1,Manhattan,71,4.61,0,0,9am - 4:30pm,296.58,Yes
978052,80476,- None -,Unitarian Church of All Souls,1157 Lexington Avenue,New York,NY,10021,30,5465,5465,1/28/2026,,262, ,1230,1630,W,-73.95858,40.775377,Dry,Yes,1/28/2026,Yes,1,Manhattan,71,2.29,0,0,9am - 4:30pm,146.14,Yes
978057,85396,- None -,HS 493 K Brooklyn Collegiate: A College Board Scho,2021 Bergen Street,Brooklyn,NY,11233,30,772,772,1/28/2026,,45, ,0830,1230,W,-73.913273,40.674103,Dry,No,1/28/2026,No,2,Brooklyn,8,0.4,0,0,Can accept deliveries between 8:30am and 12:30pm,26.13,No
978058,85396,- None -,HS 493 K Brooklyn Collegiate: A College Board Scho,2021 Bergen Street,Brooklyn,NY,11233,30,924,924,1/28/2026,,46, ,0830,1230,W,-73.913273,40.674103,Cold,No,1/28/2026,No,2,Brooklyn,8,0.95,0,0,Can accept deliveries between 8:30am and 12:30pm,59.82,No
978059,85401,- None -,JHS 8 Q Richard S. Grossley,108-35 167th Street,Jamaica,NY,11433,30,5690,5690,1/28/2026,,307, ,1230,1630,W,-73.787192,40.69719,Dry,No,1/28/2026,No,4,Queens,5,3.08,0,0.32,Cannot accept deliveries after 1pm.,218.84,No
978064,82210,- None -,Spanish SDA Church,1038 Prospect Avenue,Bronx,NY,10459,30,3928,3928,1/28/2026,,171, ,0830,1230,W,-73.899622,40.824457,Dry,Yes,1/28/2026,Yes,1,Bronx,9,1.63,0,0,"Please, 9am - 12:30 - The best way to deliver the items is using the back part of the building, located on the Rev. James Polite side",103.66,Yes
978085,85582,- None -,PS 140 X,916 Eagle Ave,Bronx,NY,10456,30,630,630,1/28/2026,,42, ,1230,1630,W,-73.907948,40.823289,Dry,No,1/28/2026,No,4,Bronx,10,0.38,0,0.02,Deliveries before 1pm prefered,24.99,No
978097,81324,- None -,St. Stephen Outreach Inc.,874 Myrtle Avenue,Brooklyn,NY,11206,30,4679,4679,1/28/2026,,247, ,0830,1230,W,-73.947375,40.695579,Dry,Yes,1/28/2026,Yes,1,Brooklyn,17,1.98,0,0,8:30am - 12:30pm - Requests Stop #1 or #2,125.8,Yes
978106,81324,- None -,St. Stephen Outreach Inc.,874 Myrtle Avenue,Brooklyn,NY,11206,30,2622,2622,1/28/2026,,71, ,0830,1230,W,-73.947375,40.695579,Cold,Yes,1/28/2026,Yes,1,Brooklyn,17,1.92,0,0,8:30am - 12:30pm - Requests Stop #1 or #2,122.77,Yes
978110,85460,- None -,PS 142 M Amalia Castro,100 Attorney Street,New York,NY,10002,30,539,539,1/28/2026,,29, ,0830,1230,W,-73.984452,40.718383,Dry,No,1/28/2026,No,2,Manhattan,22,0.42,0,0,"Between 830 - 12:30pm.  When close by, Contact  Jessica at 646-574-1384 or Ashely 347-549-5870.*School can only receive on straight trucks*; hard to find parking.  Please note, pallets cannot fit through the schools entrance.",26.27,No
978117,85460,- None -,PS 142 M Amalia Castro,100 Attorney Street,New York,NY,10002,30,174,174,1/28/2026,,12, ,0830,1230,W,-73.984452,40.718383,Cold,No,1/28/2026,No,2,Manhattan,22,0.13,0,0,"Between 830 - 12:30pm.  When close by, Contact  Jessica at 646-574-1384 or Ashely 347-549-5870.*School can only receive on straight trucks*; hard to find parking.  Please note, pallets cannot fit through the schools entrance.",7.71,No
978120,82278,- None -,New Haven SDA Church,634 Prospect Place,Brooklyn,NY,11216,30,2434,2434,1/28/2026,,102, ,0830,1230,W,-73.955524,40.674865,Dry,Yes,1/28/2026,Yes,3,Brooklyn,18,0.92,0,0.02,Deliver ONLY Wednesday 9:00am-12:00pm Please call  to confirm 347-421-8664 or 718-282-5610,59.69,Yes
978127,82278,- None -,New Haven SDA Church,634 Prospect Place,Brooklyn,NY,11216,30,789,789,1/28/2026,,26, ,0830,1230,W,-73.955524,40.674865,Cold,Yes,1/28/2026,Yes,3,Brooklyn,18,0.51,0,0,Deliver ONLY Wednesday 9:00am-12:00pm Please call  to confirm 347-421-8664 or 718-282-5610,32.28,Yes
